Latitude (Deg), Longitude (Deg), GPS Altitude (m), N Velocity(m/s), E Velocity(m/s), D Velocity(m/s), Velocity(m/s), Ground Speed(m/s), AccelerometerX(g), AccelerometerY(g), AccelerometerZ(g), GyroX(rad/s), GyroY(rad/s), GyroZ(rad/s), Barometric Alt(m), QuaternionX, QuaternionY, QuaternionZ, QuaternionW, Roll(deg), Pitch(deg), Yaw(deg), MagneticX, MagneticY, MagneticZ, Satellites, Sequence(135 Hz) ,
36.16374815,140.0520556,56.77613068,0.000131804,9.56E-05,-0.004791508,0.004794274,0.000162831,0.000969864,-0.018220492,-1.010251522,-0.000840024,0.00300997,0.006150817,56.76089478,0.004012329,0.00675492,0.818693936,0.574176431,0.897747207,0.068026875,109.9141,0.019409955,0.006537005,-0.10142079,6,6285, 
36.16374815,140.0520556,56.73997116,0.000205494,0.000130475,-0.005085631,0.005091453,0.000243416,0.001058622,-0.018131321,-1.008702993,-0.001231929,0.002814312,0.002681681,56.76084518,0.004012476,0.006754826,0.818653584,0.574233949,0.897743335,0.068069988,109.9060487,0.014737964,0.006972797,-0.085755073,6,6288, 
36.16374815,140.0520556,56.73997116,0.000247267,0.000157052,-0.005307226,0.005315303,0.000292927,0.001342616,-0.017950337,-1.007606506,-0.001923938,0.002266424,-0.000603514,56.76079941,0.004012551,0.006753124,0.818608403,0.574298382,0.897583164,0.068021608,109.8970302,0.008354545,0.005315319,-0.075704515,6,6291, 
36.16374815,140.0520556,56.73997116,0.000256757,0.000164069,-0.005484258,0.005492716,0.000304701,0.001583581,-0.017524874,-1.007481813,-0.002690806,0.001488713,-0.003624284,56.76075363,0.004012882,0.00674901,0.818558693,0.574369252,0.897213148,0.06779747,109.8871082,0.001897991,0.001403436,-0.075805239,6,6294, 
36.16374815,140.0520556,56.73997116,0.000228686,0.000145138,-0.005667299,0.005673768,0.000270855,0.001617789,-0.016717125,-1.007974148,-0.003262028,0.001220694,-0.005892653,56.76070786,0.004013278,0.006742803,0.818505168,0.574445546,0.896650706,0.067435389,109.8764251,-0.005614102,-0.003786232,-0.081496775,6,6297, 
36.16374815,140.0520556,56.73273849,0.000160562,0.000106984,-0.005816808,0.005820006,0.000192939,0.00139207,-0.01561716,-1.008374929,-0.003394123,0.001374682,-0.006883489,56.76063919,0.004013258,0.006735812,0.818449438,0.574525237,0.895987112,0.067064159,109.865278,-0.013624892,-0.00763068,-0.084802568,6,6300, 
36.16374815,140.0520556,56.73273849,6.61E-05,7.24E-05,-0.005990034,0.005990836,9.80E-05,0.001191402,-0.014516429,-1.008124352,-0.003029961,0.001730942,-0.00684518,56.76057434,0.004012875,0.006729429,0.818392813,0.574605763,0.895356661,0.066767958,109.8539944,-0.018890686,-0.006920185,-0.080617063,6,6303, 
36.16374815,140.0520556,56.73273849,-3.51E-05,5.36E-05,-0.006149329,0.006149663,6.41E-05,0.001269462,-0.013706965,-1.007333994,-0.00218721,0.002019008,-0.005882272,56.76050949,0.004012709,0.006724739,0.818337023,0.574685335,0.894899354,0.066561772,109.842856,-0.020235136,-0.00375504,-0.071865827,6,6306, 
36.16374815,140.0520556,56.73273849,-0.000132394,5.68E-05,-0.00627171,0.006273365,0.000144075,0.001606435,-0.013178048,-1.006815434,-0.001461256,0.002023404,-0.004308978,56.76044464,0.004013392,0.006721852,0.818283021,0.574762285,0.894667408,0.066391679,109.8320818,-0.019465208,0.0006442,-0.066601679,6,6309, 
36.16374815,140.0520556,56.75030136,-0.000229775,6.83E-05,-0.006537767,0.00654216,0.000239723,0.001945069,-0.012849365,-1.006850958,-0.000918244,0.002045695,-0.002229483,56.76044083,0.004014991,0.006720265,0.818231583,0.574835539,0.894617906,0.066217304,109.8218229,-0.01947619,0.002302624,-0.067616016,6,6312, 
36.16374815,140.0520556,56.75030136,-0.000332919,7.86E-05,-0.006810176,0.006818762,0.000342074,0.00207506,-0.012737864,-1.007579684,-0.000625276,0.00199362,0.000322752,56.76044083,0.00401726,0.006719487,0.818183362,0.574903965,0.894689031,0.066028127,109.8122288,-0.020628951,0.002053179,-0.075170174,6,6315, 
36.16374815,140.0520556,56.75030136,-0.000425776,8.12E-05,-0.007121543,0.007134722,0.000433449,0.001879329,-0.012929267,-1.008601665,-0.000501645,0.002197009,0.002925353,56.76044083,0.00401972,0.00671922,0.818139076,0.574967265,0.894820823,0.065849081,109.8033745,-0.018571287,0.000517681,-0.085299335,6,6318, 
