Latitude (Deg), Longitude (Deg), GPS Altitude (m), N Velocity(m/s), E Velocity(m/s), D Velocity(m/s), Velocity(m/s), Ground Speed(m/s), AccelerometerX(g), AccelerometerY(g), AccelerometerZ(g), GyroX(rad/s), GyroY(rad/s), GyroZ(rad/s), Barometric Alt(m), QuaternionX, QuaternionY, QuaternionZ, QuaternionW, Roll(deg), Pitch(deg), Yaw(deg), MagneticX, MagneticY, MagneticZ, Satellites, Sequence(135 Hz) ,
36.16392032,140.0521107,78.51832581,-5.701635361,-1.824807525,-0.021423761,5.986570576,5.986532242,-0.001956047,-0.170690492,-1.012040615,0.087590232,-0.031221557,0.0232457,78.50984192,0.076449968,0.107168317,0.797379375,0.58894527,15.12701621,0.247134154,107.133584,-0.974146605,-0.436562121,-0.065438583,10,180604, 
36.16392007,140.0521106,78.51832581,-5.707357883,-1.826442838,-0.021238407,5.992518546,5.992480909,0.003720493,-0.170114189,-1.005698681,0.133602872,-0.046469197,0.027713573,78.50997925,0.076697439,0.107323736,0.79738158,0.588881791,15.1584662,0.23421076,107.1379877,-1.144426823,-0.327057898,-0.067558065,10,180607, 
36.16391981,140.0521105,78.51832581,-5.712751865,-1.82764554,-0.021078248,5.998021873,5.997984836,0.005441307,-0.169778094,-0.98922199,0.128329158,-0.06751056,0.004414859,78.51011658,0.07700853,0.107494846,0.797360897,0.588837981,15.1957349,0.216974725,107.1384197,-1.078760862,-0.240543902,0.030183479,10,180610, 
36.16391955,140.0521104,78.51832581,-5.717531681,-1.82857132,-0.020444285,6.002854285,6.00281947,0.00697147,-0.174798101,-0.976087928,0.121375576,-0.008753762,0.006111443,78.51025391,0.077270128,0.107683606,0.797329485,0.588811696,15.23124828,0.205762837,107.1372763,-0.955994606,-0.185154498,0.12666133,10,180613, 
36.16391929,140.0521103,78.74504089,-5.721493244,-1.830327511,-0.021451693,6.007166047,6.007127745,-0.001234166,-0.173378319,-0.97029829,0.101244852,0.051288415,0.005454863,78.51115417,0.077393524,0.107932709,0.797313988,0.588771045,15.26289779,0.210930812,107.1407428,-0.792274714,-0.351238817,0.286759108,10,180616, 
36.16391904,140.0521102,78.74504089,-5.724760532,-1.832609057,-0.021608155,6.0109738,6.010934961,-0.000176594,-0.173839182,-0.967250049,0.074755713,0.087797068,0.012784896,78.51205444,0.077387258,0.108205736,0.797318876,0.588715076,15.28788702,0.229186718,107.1487811,-0.653494239,-0.456316024,0.444491535,10,180619, 
36.16391878,140.0521101,78.74504089,-5.728136063,-1.834618092,-0.020928286,6.014798774,6.014762364,0.000596262,-0.174668148,-0.979570746,0.038014438,0.113491759,0.00626017,78.51294708,0.077272564,0.108461432,0.797338843,0.588655949,15.30383275,0.256004158,107.1592875,-0.675108671,-0.401782721,0.261589855,10,180622, 
36.16391852,140.05211,78.74504089,-5.731241703,-1.836411119,-0.021115404,6.018304007,6.018266964,-0.000955642,-0.183107331,-0.98180306,-0.008403972,0.078735657,0.042348698,78.51383972,0.077109717,0.108624734,0.797390997,0.588576674,15.30788895,0.280451433,107.1735377,-0.621154308,-0.358608931,0.174005672,10,180625, 
36.16391826,140.0521098,78.13290405,-5.734274387,-1.837546587,-0.016000766,6.02152275,6.021501491,-0.001604937,-0.185153112,-0.990011752,-0.066265479,0.099498168,0.02889342,78.51264954,0.076887161,0.108671598,0.797472477,0.588486671,15.29702733,0.30210975,107.1903863,-0.606519341,-0.227111042,-0.061559126,10,180628, 
36.163918,140.0521097,78.13290405,-5.737092495,-1.83901453,-0.012196355,6.024645507,6.024633162,-0.009312484,-0.184630096,-0.989638984,-0.103578001,0.112936586,0.047409207,78.51143646,0.076561175,0.108648241,0.797573864,0.588396072,15.27254911,0.328307253,107.2092217,-0.563675046,-0.293566644,-0.066318884,10,180631, 
36.16391774,140.0521096,78.13290405,-5.739931583,-1.840916991,-0.008544143,6.027923602,6.027917547,-0.007225867,-0.181430861,-0.986740649,-0.084944762,0.133495659,0.03746501,78.51020813,0.076188713,0.108630426,0.797687232,0.588294029,15.2454191,0.3588879,107.23051,-0.567776561,-0.380507469,0.074004248,10,180634, 
